Episode #,Date,Title,Description,Link,Notes
499,"Jun 28, 2013",Taking Names,"The truly incredible story of a guy named Kirk Johnson who started a list of hundreds of Iraqis who needed to get out of their country. They were getting death threats, and he was their only hope. Only 26 and living in his aunt's basement, he had no idea what to do. How Kirk kind of succeeded spectacularly and failed spectacularly at the same time.",http://www.thisamericanlife.org/radio-archives/episode/499/taking-names,
498,"Jun 21, 2013",The One Thing You're Not Supposed To Do,"This week, stories about people who know something's a bad idea, but convince themselves to do that thing anyway. Including the story of a bunch of illegal immigrants who turn themselves in to the U.S. Immigration and Customs Enforcement, hoping to be sent into detention.",http://www.thisamericanlife.org/radio-archives/episode/498/the-one-thing-youre-not-supposed-to-do,
497,"Jun 14, 2013",This Week,This week we return to one of our favorite themes: This Week! All of the stories in the show are things that have taken place in the last seven days.,http://www.thisamericanlife.org/radio-archives/episode/497/this-week,
496,"May 31, 2013",When Patents Attack... Part Two!,"Two years ago, we did a program about a mysterious business in Texas that threatens companies with lawsuits for violating its patents. But the world of patent lawsuits is so secretive, there were basic questions we could not answer. Now we can.",http://www.thisamericanlife.org/radio-archives/episode/496/when-patents-attack-part-two,
495,"May 17, 2013",Hot In My Backyard,"After years of being stuck, the national conversation on climate change finally started to shift ? just a little ? last year, the hottest year on record in the U.S., with Hurricane Sandy flooding the New York subway, drought devastating Midwest farms, and California and Colorado on fire.",http://www.thisamericanlife.org/radio-archives/episode/495/hot-in-my-backyard,
494,"May 3, 2013",Hit the Road,"It's spring, so we're opening windows and going places. This week we have stories of people who, for reasons that they can't always explain, feel compelled to get out and go somewhere. Including the story of one man who decides to take a trip from Philadelphia to San Francisco ? by foot.",http://www.thisamericanlife.org/radio-archives/episode/494/hit-the-road,
493,"Apr 19, 2013",Picture Show,"This week, Israeli soldiers take snapshots of Palestinian boys, one house at a time, in the middle of the night. This and other stories where getting the picture gives you the upper hand.",http://www.thisamericanlife.org/radio-archives/episode/493/picture-show,
492,"Apr 12, 2013",Dr. Gilmer and Mr. Hyde,"Dr. Benjamin Gilmer (left) gets a job at a rural clinic. He finds out he?s replaced someone ? also named Dr. Gilmer (picture) ? who went to prison after killing his own father. But the more Benjamin?s patients talk about the other Dr. Gilmer, the more confused he becomes. Everyone loved the old Dr. Gilmer.",http://www.thisamericanlife.org/radio-archives/episode/492/dr-gilmer-and-mr-hyde,
491,"Mar 29, 2013",Tribes,"A Native American tribe is doing exactly the opposite of what you'd think they'd do: they're kicking people out of the tribe, huge numbers of them, including people whose ancestors without question were part of the tribe.",http://www.thisamericanlife.org/radio-archives/episode/491/tribes,
490,"Mar 22, 2013",Trends With Benefits,"The number of Americans receiving federal disability payments has nearly doubled over the last 15 years. There are towns and counties around the nation where almost 1/4 of adults are on disability. Planet Money's Chana Joffe-Walt spent 6 months exploring the disability program, and emerges with a story of the U.S.",http://www.thisamericanlife.org/radio-archives/episode/490/trends-with-benefits,
